SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,AGE_CLIENT,YEARS_EMPLOYED,CNT_FAM_MEMBERS,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,ANNUITY_INCOME%,PAYMENT_RATE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,OCCUPATION_TYPE
100027,0,Cash loans,F,68.01917808219179,4.52,2.0,N,Y,83250.0,239850.0,23850.0,225000.0,0.2864864864864865,0.09943714821763602,Pensioner,Secondary / secondary special,Married,House / apartment,
100029,0,Cash loans,M,30.92054794520548,2.04,4.0,Y,N,135000.0,247500.0,12703.5,247500.0,0.0941,0.05132727272727273,Working,Secondary / secondary special,Married,House / apartment,Drivers
100030,0,Cash loans,F,52.96986301369863,9.57,2.0,N,Y,90000.0,225000.0,11074.5,225000.0,0.12305,0.04922,Working,Secondary / secondary special,Married,House / apartment,Cleaning staff
100031,1,Cash loans,F,51.298630136986304,7.2,1.0,N,Y,112500.0,979992.0,27076.5,702000.0,0.24068,0.02762930717801778,Working,Secondary / secondary special,Widow,House / apartment,Cooking staff
100032,0,Cash loans,M,43.69315068493151,3.38,3.0,N,Y,112500.0,327024.0,23827.5,270000.0,0.2118,0.0728616248348745,Working,Secondary / secondary special,Married,House / apartment,Laborers
100033,0,Cash loans,M,27.38082191780822,4.92,1.0,Y,Y,270000.0,790830.0,57676.5,675000.0,0.21361666666666668,0.0729316035051781,State servant,Higher education,Single / not married,House / apartment,
100034,0,Revolving loans,M,28.33150684931507,2.77,1.0,N,Y,90000.0,180000.0,9000.0,180000.0,0.1,0.05,Working,Higher education,Single / not married,With parents,Laborers
100035,0,Cash loans,F,41.86301369863013,7.31,2.0,N,Y,292500.0,665892.0,24592.5,477000.0,0.08407692307692308,0.03693166459425853,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,
100036,0,Cash loans,F,30.53150684931507,3.02,2.0,N,Y,112500.0,512064.0,25033.5,360000.0,0.22252,0.04888744375703037,Working,Secondary / secondary special,Civil marriage,House / apartment,Private service staff
100037,0,Cash loans,F,35.54520547945206,12.07,2.0,N,N,90000.0,199008.0,20893.5,180000.0,0.23215,0.10498824167872649,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers
100039,0,Cash loans,M,32.038356164383565,5.64,3.0,Y,N,360000.0,733315.5,39069.0,679500.0,0.108525,0.05327720469565964,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers
100040,0,Cash loans,F,43.827397260273976,12.56,2.0,N,Y,135000.0,1125000.0,32895.0,1125000.0,0.24366666666666667,0.02924,State servant,Higher education,Married,House / apartment,Core staff
100041,0,Cash loans,F,33.30958904109589,3.49,2.0,N,N,112500.0,450000.0,44509.5,450000.0,0.39564,0.09891,Working,Higher education,Married,House / apartment,Sales staff
100043,0,Cash loans,F,47.12054794520548,2.1,4.0,N,Y,198000.0,641173.5,23157.0,553500.0,0.11695454545454545,0.03611658934750111,Commercial associate,Secondary / secondary special,Married,House / apartment,Private service staff
100044,0,Cash loans,M,57.74520547945205,3.53,2.0,N,Y,121500.0,454500.0,15151.5,454500.0,0.1247037037037037,0.03333663366336634,Working,Secondary / secondary special,Married,House / apartment,Drivers
100045,0,Cash loans,F,65.53424657534246,4.52,2.0,N,Y,99000.0,247275.0,17338.5,225000.0,0.17513636363636365,0.07011828935395814,Pensioner,Secondary / secondary special,Married,House / apartment,
100046,0,Revolving loans,M,44.18082191780822,4.82,2.0,Y,Y,180000.0,540000.0,27000.0,540000.0,0.15,0.05,Working,Higher education,Married,House / apartment,Managers
100047,1,Cash loans,M,47.895890410958906,3.46,2.0,N,Y,202500.0,1193580.0,35028.0,855000.0,0.17297777777777779,0.029347006484693107,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers
100048,0,Cash loans,F,46.49589041095891,1.3,2.0,N,Y,202500.0,604152.0,29196.0,540000.0,0.14417777777777777,0.048325586938386365,Working,Secondary / secondary special,Married,House / apartment,Laborers
100049,1,Cash loans,F,36.66849315068493,9.85,2.0,N,N,135000.0,288873.0,16258.5,238500.0,0.12043333333333334,0.056282518615446926,Working,Secondary / secondary special,Civil marriage,House / apartment,Sales staff
100050,0,Cash loans,F,64.51506849315068,4.52,1.0,N,Y,108000.0,746280.0,42970.5,675000.0,0.397875,0.05757959479015919,Pensioner,Higher education,Single / not married,House / apartment,
100051,0,Cash loans,M,26.92328767123288,2.08,2.0,N,Y,202500.0,661702.5,48280.5,598500.0,0.23842222222222223,0.07296405862151042,Working,Secondary / secondary special,Civil marriage,House / apartment,
100052,0,Revolving loans,F,21.846575342465755,2.45,3.0,N,Y,90000.0,180000.0,9000.0,180000.0,0.1,0.05,Working,Secondary / secondary special,Civil marriage,House / apartment,Sales staff
100053,0,Cash loans,F,55.81643835616438,4.52,1.0,N,Y,202500.0,305221.5,17649.0,252000.0,0.08715555555555556,0.057823580580005016,Pensioner,Secondary / secondary special,Single / not married,House / apartment,
100054,0,Cash loans,F,55.12602739726027,14.61,2.0,N,Y,99000.0,260640.0,26838.0,225000.0,0.2710909090909091,0.10296961325966851,Working,Secondary / secondary special,Married,House / apartment,Medicine staff
100055,0,Cash loans,F,54.04657534246575,12.08,2.0,N,N,130500.0,1350000.0,37255.5,1350000.0,0.28548275862068967,0.027596666666666665,State servant,Secondary / secondary special,Married,House / apartment,Managers
100056,0,Cash loans,M,50.038356164383565,26.09,2.0,Y,Y,360000.0,1506816.0,49927.5,1350000.0,0.1386875,0.033134437117737,Working,Secondary / secondary special,Married,House / apartment,Laborers
100058,0,Revolving loans,F,33.989041095890414,3.22,2.0,N,Y,54000.0,135000.0,6750.0,135000.0,0.125,0.05,State servant,Higher education,Married,House / apartment,Core staff
100059,0,Cash loans,M,51.04657534246575,19.12,3.0,Y,Y,540000.0,675000.0,34596.0,675000.0,0.06406666666666666,0.05125333333333333,Commercial associate,Higher education,Married,House / apartment,Managers
100060,0,Cash loans,M,33.64931506849315,2.13,2.0,Y,N,76500.0,454500.0,14661.0,454500.0,0.19164705882352942,0.03225742574257426,Working,Secondary / secondary special,Married,House / apartment,
100061,0,Cash loans,F,28.693150684931503,3.81,4.0,N,Y,225000.0,314055.0,16164.0,238500.0,0.07184,0.05146869178965468,Commercial associate,Higher education,Married,House / apartment,Core staff
100062,0,Cash loans,M,50.989041095890414,4.52,2.0,Y,N,81000.0,675000.0,32472.0,675000.0,0.4008888888888889,0.048106666666666666,Pensioner,Secondary / secondary special,Married,House / apartment,
100063,0,Cash loans,F,35.49315068493151,11.25,2.0,N,Y,180000.0,837427.5,45558.0,666000.0,0.2531,0.05440232139498643,Working,Higher education,Married,House / apartment,Managers
100064,0,Cash loans,F,59.23561643835617,4.52,1.0,N,N,67500.0,298728.0,15381.0,202500.0,0.22786666666666666,0.0514883104362497,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,
100068,0,Revolving loans,M,49.99452054794521,6.44,2.0,N,Y,81000.0,247500.0,12375.0,247500.0,0.1527777777777778,0.05,Working,Secondary / secondary special,Married,House / apartment,Security staff
100069,0,Cash loans,M,38.865753424657534,4.78,2.0,Y,Y,360000.0,640458.0,27265.5,517500.0,0.0757375,0.04257187824962761,Working,Secondary / secondary special,Separated,House / apartment,Laborers
100070,0,Cash loans,M,56.28493150684932,5.73,1.0,Y,Y,540000.0,1227901.5,46899.0,1129500.0,0.08685,0.038194431719482384,Working,Higher education,Widow,House / apartment,Managers
100071,0,Cash loans,F,55.12602739726027,6.7,2.0,N,Y,180000.0,1663987.5,86989.5,1588500.0,0.483275,0.05227773646136164,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants
100072,0,Cash loans,M,21.663013698630134,3.63,1.0,N,N,180000.0,1080000.0,44118.0,1080000.0,0.2451,0.04085,Working,Incomplete higher,Single / not married,With parents,Sales staff
100073,0,Cash loans,M,62.583561643835615,4.52,2.0,Y,Y,324000.0,1130760.0,40189.5,810000.0,0.12404166666666666,0.035542024832855776,Pensioner,Higher education,Civil marriage,House / apartment,
100075,0,Cash loans,F,33.534246575342465,10.19,1.0,N,N,112500.0,95940.0,10462.5,90000.0,0.093,0.10905253283302063,Working,Higher education,Single / not married,House / apartment,
100076,0,Cash loans,M,37.989041095890414,6.98,2.0,Y,N,180000.0,315000.0,9679.5,315000.0,0.053775,0.030728571428571428,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers
100077,0,Cash loans,M,33.010958904109586,1.59,1.0,N,Y,180000.0,1256400.0,40657.5,900000.0,0.225875,0.03236031518624642,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Core staff
100078,0,Cash loans,F,53.56164383561644,13.3,2.0,Y,Y,180000.0,1035000.0,43983.0,1035000.0,0.24435,0.042495652173913046,State servant,Higher education,Married,House / apartment,Core staff
100079,0,Revolving loans,M,42.07945205479452,0.31,1.0,N,Y,225000.0,270000.0,13500.0,270000.0,0.06,0.05,Working,Secondary / secondary special,Separated,Municipal apartment,Laborers
100080,0,Revolving loans,F,32.75616438356165,8.64,3.0,N,N,157500.0,450000.0,22500.0,450000.0,0.14285714285714285,0.05,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Sales staff
100081,0,Cash loans,M,29.72054794520548,0.33,2.0,Y,N,180000.0,450000.0,21109.5,450000.0,0.117275,0.04691,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Laborers
100082,0,Cash loans,M,32.9013698630137,7.79,4.0,N,N,180000.0,450000.0,21109.5,450000.0,0.117275,0.04691,Commercial associate,Higher education,Married,House / apartment,Laborers
100083,0,Cash loans,M,42.20821917808219,2.44,2.0,Y,Y,103500.0,573628.5,24435.0,463500.0,0.23608695652173914,0.04259725588948248,Working,Secondary / secondary special,Married,House / apartment,Laborers
100084,0,Cash loans,M,40.71232876712329,3.17,3.0,N,Y,225000.0,495351.0,26140.5,459000.0,0.11618,0.05277167099692945,Working,Secondary / secondary special,Separated,House / apartment,Laborers
100085,0,Cash loans,M,30.649315068493152,6.09,3.0,N,Y,157500.0,755190.0,28894.5,675000.0,0.18345714285714285,0.038261232272673106,Working,Secondary / secondary special,Married,House / apartment,Drivers
100086,0,Cash loans,F,39.07945205479452,6.83,2.0,N,Y,135000.0,675000.0,21775.5,675000.0,0.1613,0.03226,Commercial associate,Higher education,Widow,House / apartment,Laborers
100087,0,Cash loans,F,48.06027397260274,5.51,3.0,N,Y,202500.0,1288350.0,37800.0,1125000.0,0.18666666666666668,0.029339853300733496,Working,Secondary / secondary special,Married,House / apartment,Cooking staff
100088,0,Revolving loans,F,53.33424657534247,11.14,2.0,N,N,112500.0,135000.0,6750.0,135000.0,0.06,0.05,Commercial associate,Higher education,Married,House / apartment,
100089,0,Cash loans,M,26.48219178082192,7.7,2.0,N,Y,135000.0,337761.0,15781.5,256500.0,0.1169,0.04672386687628234,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers
100093,0,Cash loans,F,50.00821917808219,1.98,3.0,N,Y,94500.0,585000.0,28273.5,585000.0,0.2991904761904762,0.04833076923076923,Working,Secondary / secondary special,Married,House / apartment,Core staff
100094,0,Cash loans,F,62.83561643835616,4.52,1.0,N,Y,108000.0,113760.0,5301.0,90000.0,0.04908333333333333,0.04659810126582278,Pensioner,Higher education,Single / not married,House / apartment,
100095,0,Revolving loans,F,51.21369863013699,3.93,4.0,N,Y,67500.0,135000.0,6750.0,135000.0,0.1,0.05,Working,Secondary / secondary special,Married,House / apartment,Sales staff
100096,1,Cash loans,F,67.92876712328767,4.52,2.0,N,Y,81000.0,252000.0,14593.5,252000.0,0.18016666666666667,0.05791071428571429,Pensioner,Secondary / secondary special,Married,House / apartment,
100097,0,Cash loans,M,48.01917808219178,6.69,2.0,Y,Y,157500.0,760225.5,30280.5,679500.0,0.19225714285714285,0.03983094489727061,Working,Secondary / secondary special,Married,House / apartment,
100098,0,Revolving loans,M,47.64383561643836,2.53,2.0,Y,N,225000.0,270000.0,13500.0,270000.0,0.06,0.05,Working,Secondary / secondary special,Civil marriage,House / apartment,Drivers
100099,0,Cash loans,F,63.1013698630137,4.52,1.0,N,Y,360000.0,733315.5,41076.0,679500.0,0.1141,0.0560140894335385,Pensioner,Secondary / secondary special,Separated,House / apartment,
100100,0,Cash loans,M,43.586301369863016,3.0,4.0,Y,Y,202500.0,796396.5,38443.5,643500.0,0.18984444444444445,0.048271809331156025,Working,Higher education,Married,House / apartment,Managers
100101,0,Cash loans,F,49.69315068493151,2.65,1.0,Y,Y,202500.0,343377.0,22072.5,283500.0,0.109,0.06428065945010877,State servant,Higher education,Single / not married,House / apartment,High skill tech staff
100102,0,Cash loans,F,39.23561643835617,0.53,2.0,N,N,126000.0,327024.0,10264.5,270000.0,0.08146428571428571,0.03138760457948041,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers
100103,0,Cash loans,F,57.84109589041096,4.64,2.0,N,Y,72000.0,450000.0,16965.0,450000.0,0.235625,0.0377,Working,Secondary / secondary special,Married,House / apartment,
100104,0,Cash loans,F,50.83835616438356,2.36,2.0,N,Y,90000.0,547344.0,30690.0,472500.0,0.341,0.05607077084977637,Working,Secondary / secondary special,Married,House / apartment,Waiters/barmen staff
100105,0,Cash loans,F,54.273972602739725,24.28,2.0,N,Y,193500.0,225000.0,23755.5,225000.0,0.12276744186046512,0.10558,Working,Secondary / secondary special,Married,House / apartment,Managers
100108,0,Cash loans,F,35.013698630136986,3.88,5.0,N,Y,171000.0,545040.0,31288.5,450000.0,0.18297368421052632,0.0574058784676354,Working,Secondary / secondary special,Married,House / apartment,Sales staff
100110,0,Cash loans,M,29.435616438356163,2.03,5.0,Y,Y,135000.0,373140.0,25065.0,337500.0,0.18566666666666667,0.06717317896767969,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers
100111,0,Cash loans,F,28.726027397260275,3.42,3.0,Y,N,112500.0,862560.0,27954.0,720000.0,0.24848,0.032408180300500834,Commercial associate,Secondary / secondary special,Married,With parents,Sales staff
100112,1,Cash loans,M,27.942465753424656,5.52,1.0,Y,Y,315000.0,953460.0,64107.0,900000.0,0.2035142857142857,0.06723617141778365,Commercial associate,Incomplete higher,Single / not married,With parents,
100113,0,Cash loans,M,41.47123287671233,21.86,1.0,Y,N,76500.0,135000.0,6696.0,135000.0,0.08752941176470588,0.0496,Working,Secondary / secondary special,Single / not married,House / apartment,Low-skill Laborers
100114,0,Cash loans,F,29.40821917808219,1.9,1.0,N,Y,135000.0,284400.0,22599.0,225000.0,0.1674,0.0794620253164557,Commercial associate,Higher education,Single / not married,House / apartment,Laborers
100115,0,Cash loans,F,42.11232876712329,1.01,2.0,N,N,90000.0,315000.0,14683.5,315000.0,0.16315,0.04661428571428571,Working,Secondary / secondary special,Married,House / apartment,
100116,0,Cash loans,F,40.41369863013698,18.46,2.0,N,Y,243000.0,900000.0,32017.5,900000.0,0.13175925925925927,0.035575,Working,Higher education,Married,House / apartment,Core staff
100118,0,Cash loans,F,61.56438356164384,4.52,1.0,N,Y,90000.0,675000.0,26541.0,675000.0,0.2949,0.03932,Pensioner,Secondary / secondary special,Widow,House / apartment,
100119,0,Revolving loans,F,30.526027397260275,6.63,2.0,N,Y,54000.0,180000.0,9000.0,180000.0,0.16666666666666666,0.05,Working,Secondary / secondary special,Married,House / apartment,Medicine staff
100120,0,Cash loans,F,26.438356164383563,8.09,2.0,N,N,135000.0,781920.0,28215.0,675000.0,0.209,0.03608425414364641,Working,Higher education,Married,House / apartment,Core staff
100121,0,Cash loans,M,46.02191780821918,1.83,2.0,N,Y,126000.0,787131.0,26145.0,679500.0,0.2075,0.03321556386421066,Working,Secondary / secondary special,Married,With parents,Low-skill Laborers
100122,0,Cash loans,F,30.01095890410959,6.76,3.0,N,N,76500.0,808650.0,26217.0,675000.0,0.3427058823529412,0.032420701168614355,Commercial associate,Higher education,Married,With parents,Core staff
100123,0,Cash loans,F,64.98356164383561,23.19,1.0,N,N,103500.0,675000.0,19737.0,675000.0,0.19069565217391304,0.02924,Working,Secondary / secondary special,Widow,House / apartment,Security staff
100124,0,Cash loans,M,65.89315068493151,4.52,1.0,N,Y,225000.0,448272.0,28647.0,396000.0,0.12732,0.06390539672341793,Pensioner,Secondary / secondary special,Widow,House / apartment,
100125,0,Cash loans,F,59.21369863013699,4.52,2.0,N,N,126000.0,263686.5,26208.0,238500.0,0.208,0.09939075379285629,Pensioner,Secondary / secondary special,Married,House / apartment,
100126,0,Revolving loans,M,35.342465753424655,2.14,4.0,N,Y,135000.0,180000.0,9000.0,180000.0,0.06666666666666667,0.05,Working,Secondary / secondary special,Married,House / apartment,
100127,0,Cash loans,M,58.46849315068493,4.52,2.0,N,Y,112500.0,52128.0,5341.5,45000.0,0.04748,0.1024689226519337,Pensioner,Secondary / secondary special,Married,House / apartment,
100129,0,Revolving loans,F,25.794520547945204,0.62,3.0,Y,Y,85500.0,135000.0,6750.0,135000.0,0.07894736842105263,0.05,Working,Higher education,Married,House / apartment,
100130,1,Cash loans,F,28.83835616438356,0.73,2.0,N,Y,157500.0,723996.0,30802.5,585000.0,0.19557142857142856,0.04254512455869922,Commercial associate,Incomplete higher,Separated,House / apartment,Sales staff
100131,0,Cash loans,F,37.89041095890411,3.2,1.0,N,Y,270000.0,891072.0,45625.5,720000.0,0.16898333333333335,0.05120293309631545,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Realty agents
100132,0,Cash loans,F,64.81095890410958,2.65,1.0,N,Y,202500.0,1136439.0,73611.0,1089000.0,0.3635111111111111,0.06477338422915792,Commercial associate,Secondary / secondary special,Widow,House / apartment,Cleaning staff
100133,0,Cash loans,F,25.22465753424657,2.86,2.0,N,N,67500.0,384048.0,18810.0,270000.0,0.2786666666666667,0.0489782527184102,Working,Secondary / secondary special,Civil marriage,With parents,Core staff
100134,0,Revolving loans,F,27.63013698630137,1.27,2.0,N,N,202500.0,180000.0,9000.0,180000.0,0.044444444444444446,0.05,Commercial associate,Secondary / secondary special,Married,House / apartment,Secretaries
100135,0,Cash loans,M,54.32602739726028,0.59,2.0,N,Y,135000.0,391194.0,26271.0,319500.0,0.1946,0.0671559379745088,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers
100136,0,Cash loans,M,43.6958904109589,0.65,3.0,Y,N,157500.0,1571931.0,49356.0,1435500.0,0.3133714285714286,0.03139832473562771,State servant,Secondary / secondary special,Married,House / apartment,Laborers
100137,0,Cash loans,F,55.57260273972603,4.52,2.0,Y,Y,225000.0,891072.0,45625.5,720000.0,0.20278,0.05120293309631545,Pensioner,Secondary / secondary special,Married,House / apartment,
100138,0,Cash loans,M,39.28493150684932,4.52,2.0,Y,N,135000.0,824823.0,29223.0,688500.0,0.21646666666666667,0.03542941940270822,Pensioner,Higher education,Married,House / apartment,
100139,0,Cash loans,F,36.4,6.32,3.0,N,N,157500.0,302341.5,24016.5,261000.0,0.15248571428571428,0.07943500974890975,Working,Secondary / secondary special,Married,House / apartment,
100140,0,Revolving loans,F,25.26849315068493,2.2,2.0,N,N,157500.0,675000.0,33750.0,675000.0,0.21428571428571427,0.05,Commercial associate,Higher education,Married,House / apartment,High skill tech staff
100142,0,Cash loans,M,36.654794520547945,14.76,3.0,Y,Y,360000.0,579195.0,27994.5,468000.0,0.0777625,0.048333462823401445,State servant,Higher education,Civil marriage,House / apartment,High skill tech staff
100143,0,Revolving loans,M,62.68767123287671,9.37,2.0,N,Y,162000.0,270000.0,13500.0,270000.0,0.08333333333333333,0.05,State servant,Higher education,Married,House / apartment,Core staff
100144,0,Cash loans,F,45.915068493150685,12.49,1.0,N,N,112500.0,535500.0,30028.5,535500.0,0.26692,0.05607563025210084,Working,Secondary / secondary special,Separated,House / apartment,Sales staff
100145,0,Cash loans,F,44.608219178082194,11.99,2.0,Y,Y,202500.0,260725.5,16789.5,198000.0,0.08291111111111112,0.06439531231122388,Working,Secondary / secondary special,Separated,House / apartment,Laborers
100146,0,Cash loans,M,62.9013698630137,4.52,2.0,Y,Y,117000.0,327024.0,12456.0,270000.0,0.10646153846153845,0.038088947600176136,Pensioner,Secondary / secondary special,Married,House / apartment,
100147,0,Cash loans,F,44.224657534246575,7.76,3.0,N,Y,135000.0,518562.0,22099.5,463500.0,0.1637,0.042616890555034884,Working,Secondary / secondary special,Married,House / apartment,Laborers
100148,0,Cash loans,F,44.76712328767123,23.69,2.0,N,Y,247500.0,755190.0,36459.0,675000.0,0.14730909090909092,0.0482779168156358,Commercial associate,Secondary / secondary special,Married,House / apartment,Medicine staff
100149,0,Cash loans,M,25.213698630136985,1.32,2.0,Y,N,171000.0,539590.5,26374.5,445500.0,0.15423684210526314,0.04887873303922141,Working,Secondary / secondary special,Married,House / apartment,Low-skill Laborers
100151,0,Cash loans,M,45.26575342465753,3.98,1.0,N,N,135000.0,182016.0,11772.0,144000.0,0.0872,0.0646756329113924,Commercial associate,Higher education,Single / not married,House / apartment,Accountants
100152,0,Cash loans,F,44.06301369863014,7.57,2.0,N,Y,157500.0,254412.0,9720.0,166500.0,0.061714285714285715,0.03820574501202773,Working,Secondary / secondary special,Married,Municipal apartment,Sales staff
100153,0,Cash loans,M,50.44657534246576,5.19,2.0,Y,Y,202500.0,1107981.0,32526.0,967500.0,0.16062222222222222,0.029356099066680748,Working,Secondary / secondary special,Married,House / apartment,Drivers
100154,0,Revolving loans,M,33.30684931506849,8.21,2.0,N,N,144000.0,180000.0,9000.0,180000.0,0.0625,0.05,Working,Secondary / secondary special,Married,House / apartment,Drivers
100155,0,Cash loans,M,32.723287671232875,7.94,2.0,N,N,157500.0,675000.0,21906.0,675000.0,0.13908571428571428,0.032453333333333334,Working,Secondary / secondary special,Married,House / apartment,Laborers
100156,0,Cash loans,F,39.0,14.82,4.0,Y,N,157500.0,945000.0,39127.5,945000.0,0.24842857142857142,0.0414047619047619,Commercial associate,Secondary / secondary special,Married,With parents,Medicine staff
100157,0,Cash loans,M,44.07123287671233,4.24,2.0,N,Y,180000.0,1755000.0,61132.5,1755000.0,0.339625,0.034833333333333334,Working,Secondary / secondary special,Married,House / apartment,
100158,0,Cash loans,M,33.83013698630137,4.99,2.0,N,N,180000.0,590337.0,27486.0,477000.0,0.1527,0.04655984632506517,Commercial associate,Incomplete higher,Married,House / apartment,Core staff
100159,0,Cash loans,F,40.12328767123287,11.03,2.0,N,Y,225000.0,1515415.5,41800.5,1354500.0,0.18578,0.027583524122592122,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff
100160,1,Cash loans,M,45.66301369863014,0.55,2.0,N,Y,292500.0,675000.0,36747.0,675000.0,0.12563076923076924,0.05444,Working,Higher education,Married,House / apartment,Managers
